Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3511373,0.64739,-2.454482,-0.5757742,0.7443697,-2.350166,-0.5402032,0.9633186,-2.199819,1
-0.3506588,0.6444628,-2.457375,-0.5773756,0.7383466,-2.354741,-0.542183,0.9571966,-2.20416,1
-0.3533615,0.6418713,-2.463404,-0.584847,0.7269449,-2.363777,-0.5491544,0.9424646,-2.208582,1
-0.3526515,0.640823,-2.461682,-0.5858359,0.7215074,-2.362367,-0.5488812,0.936522,-2.206767,1
-0.3526515,0.640823,-2.461682,-0.5858359,0.7215074,-2.362367,-0.5488812,0.936522,-2.206767,1
-0.3526515,0.640823,-2.461682,-0.5858359,0.7215074,-2.362367,-0.5488812,0.936522,-2.206767,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3547003,0.6381103,-2.456986,-0.590677,0.7111553,-2.358356,-0.554081,0.9264363,-2.20304,1
-0.3548179,0.6342179,-2.452463,-0.5933955,0.7002103,-2.355127,-0.5573635,0.9139028,-2.197502,1
-0.3546446,0.6333015,-2.454982,-0.5950593,0.6939369,-2.358687,-0.5589362,0.9062015,-2.199165,1
-0.3551636,0.633411,-2.454683,-0.5965062,0.6898601,-2.358164,-0.5588953,0.9008654,-2.197321,1
-0.3546461,0.6344536,-2.455276,-0.5973922,0.687464,-2.360341,-0.5601212,0.8977882,-2.19853,1
-0.3547757,0.6321914,-2.453537,-0.5983173,0.683291,-2.359596,-0.5620649,0.8931057,-2.196894,1
-0.3542705,0.6335606,-2.453661,-0.6000497,0.676127,-2.361308,-0.5664108,0.8853497,-2.197287,1
-0.3564956,0.6316037,-2.45448,-0.6033716,0.6684873,-2.362608,-0.5715331,0.8788172,-2.199648,1
